OrderId,AdditionalChargeSequenceNumber,ChargeDescription,ChargeAmount
000000000002,1,Fuel surcharge,4197.5
000000000006,1,Fuel surcharge,5472.3
000000000007,1,Fuel surcharge,3608.4
000000000007,2,Mileage surcharge,4947.9
000000000011,1,Fuel surcharge,1400.9
000000000011,2,Mileage surcharge,9578.6
000000000012,1,Fuel surcharge,5636.5
000000000013,1,Fuel surcharge,7515.5
000000000017,1,Fuel surcharge,5577.1
000000000018,1,Fuel surcharge,9578.4
000000000018,2,Mileage surcharge,2979.4
000000000019,1,Fuel surcharge,7392.9
000000000020,1,Fuel surcharge,5446.7
000000000021,1,Fuel surcharge,7464.8
000000000021,2,Mileage surcharge,2362
000000000022,1,Fuel surcharge,2075.5
000000000022,2,Mileage surcharge,1132.7
000000000026,1,Fuel surcharge,2013.3
000000000027,1,Fuel surcharge,4794.3
000000000027,2,Mileage surcharge,9202.2
000000000028,1,Fuel surcharge,3541.7
000000000028,2,Mileage surcharge,7803.7
000000000029,1,Fuel surcharge,3994.1
000000000029,2,Mileage surcharge,903.2
000000000030,1,Fuel surcharge,1621.7
000000000030,2,Mileage surcharge,9925.2
000000000031,1,Fuel surcharge,3822.1
000000000033,1,Fuel surcharge,7792.5
000000000035,1,Fuel surcharge,8508.9
000000000035,2,Mileage surcharge,3112.6
000000000037,1,Fuel surcharge,1250.4
000000000038,1,Fuel surcharge,222.1
000000000038,2,Mileage surcharge,9064.4
000000000041,1,Fuel surcharge,7996.9
000000000041,2,Mileage surcharge,1155.2
000000000043,1,Fuel surcharge,5896.7
000000000043,2,Mileage surcharge,4217.3
000000000044,1,Fuel surcharge,4393.3
000000000044,2,Mileage surcharge,9520.3
000000000045,1,Fuel surcharge,7648
000000000045,2,Mileage surcharge,2858.5
000000000046,1,Fuel surcharge,4082.9
000000000047,1,Fuel surcharge,1964.7
000000000048,1,Fuel surcharge,6812.2
000000000049,1,Fuel surcharge,8603.2
000000000050,1,Fuel surcharge,5834.9
000000000051,1,Fuel surcharge,7158.2
000000000054,1,Fuel surcharge,5758.3
000000000054,2,Mileage surcharge,5778.4
000000000055,1,Fuel surcharge,3127
000000000055,2,Mileage surcharge,6291.2
000000000059,1,Fuel surcharge,1282.3
000000000059,2,Mileage surcharge,3828.8
000000000064,1,Fuel surcharge,8015.5
000000000065,1,Fuel surcharge,2369.9
000000000065,2,Mileage surcharge,9602.4
000000000066,1,Fuel surcharge,9624.1
000000000070,1,Fuel surcharge,7831.7
000000000072,1,Fuel surcharge,2880
000000000072,2,Mileage surcharge,3231.7
000000000073,1,Fuel surcharge,7798.1
000000000073,2,Mileage surcharge,1306.8
000000000074,1,Fuel surcharge,6652.6
000000000074,2,Mileage surcharge,9690.5
000000000077,1,Fuel surcharge,8447.4
000000000079,1,Fuel surcharge,6765.9
000000000079,2,Mileage surcharge,6725.4
000000000082,1,Fuel surcharge,3826.3
000000000083,1,Fuel surcharge,5931.1
000000000083,2,Mileage surcharge,8215.2
000000000084,1,Fuel surcharge,3618.3
000000000084,2,Mileage surcharge,9141.7
000000000085,1,Fuel surcharge,7596.1
000000000085,2,Mileage surcharge,8554.5
000000000087,1,Fuel surcharge,2310.9
000000000091,1,Fuel surcharge,277.7
000000000091,2,Mileage surcharge,6822
000000000092,1,Fuel surcharge,7547.5
000000000092,2,Mileage surcharge,2339.4
000000000096,1,Fuel surcharge,6594.3
000000000097,1,Fuel surcharge,2427.2
000000000098,1,Fuel surcharge,4753.5
000000000098,2,Mileage surcharge,8917.4
000000000099,1,Fuel surcharge,1193.8
000000000100,1,Fuel surcharge,1406.6
000000000102,1,Fuel surcharge,8206.2
000000000103,1,Fuel surcharge,1824.3
000000000104,1,Fuel surcharge,7263.8
000000000105,1,Fuel surcharge,6663
000000000105,2,Mileage surcharge,7332.7
000000000107,1,Fuel surcharge,8635.2
000000000108,1,Fuel surcharge,2498.1
000000000109,1,Fuel surcharge,3035.6
000000000109,2,Mileage surcharge,2280.9
000000000116,1,Fuel surcharge,7238.7
000000000116,2,Mileage surcharge,4247.1
000000000120,1,Fuel surcharge,5187.1
000000000120,2,Mileage surcharge,6254.7
000000000121,1,Fuel surcharge,7453.9
000000000122,1,Fuel surcharge,2617.2
000000000122,2,Mileage surcharge,853
000000000123,1,Fuel surcharge,8673.3
000000000123,2,Mileage surcharge,8821.5
000000000125,1,Fuel surcharge,1434.9
000000000125,2,Mileage surcharge,5092.6
000000000127,1,Fuel surcharge,3223.5
000000000128,1,Fuel surcharge,5306.4
000000000128,2,Mileage surcharge,3058.9
000000000130,1,Fuel surcharge,5415.7
000000000130,2,Mileage surcharge,3345.8
000000000131,1,Fuel surcharge,8447.2
000000000131,2,Mileage surcharge,2403.2
000000000132,1,Fuel surcharge,2250.3
000000000132,2,Mileage surcharge,7295.2
000000000133,1,Fuel surcharge,3121.9
000000000133,2,Mileage surcharge,4741.6
000000000135,1,Fuel surcharge,8072.6
000000000136,1,Fuel surcharge,8082.7
000000000137,1,Fuel surcharge,4701
000000000137,2,Mileage surcharge,8276.8
000000000138,1,Fuel surcharge,7928.5
000000000138,2,Mileage surcharge,8554.8
000000000139,1,Fuel surcharge,4491.1
000000000140,1,Fuel surcharge,2140.3
000000000141,1,Fuel surcharge,3100.8
000000000142,1,Fuel surcharge,426.6
000000000142,2,Mileage surcharge,3030.6
000000000144,1,Fuel surcharge,3299.7
000000000144,2,Mileage surcharge,4894.1
000000000145,1,Fuel surcharge,6860.8
000000000146,1,Fuel surcharge,3907.1
000000000147,1,Fuel surcharge,5347
000000000147,2,Mileage surcharge,5290.7
000000000149,1,Fuel surcharge,6020.1
000000000149,2,Mileage surcharge,5333.1
000000000150,1,Fuel surcharge,5276.8
000000000151,1,Fuel surcharge,6264.7
000000000151,2,Mileage surcharge,5808.4
000000000152,1,Fuel surcharge,2736.8
000000000153,1,Fuel surcharge,687.7
000000000153,2,Mileage surcharge,1167.8
000000000154,1,Fuel surcharge,8220.4
000000000156,1,Fuel surcharge,4236.4
000000000156,2,Mileage surcharge,3720.4
000000000157,1,Fuel surcharge,3663.9
000000000157,2,Mileage surcharge,8089.5
000000000158,1,Fuel surcharge,2243.9
000000000158,2,Mileage surcharge,3208.4
000000000159,1,Fuel surcharge,5630.2
000000000160,1,Fuel surcharge,4104.3
000000000161,1,Fuel surcharge,6385.6
000000000162,1,Fuel surcharge,420.8
000000000162,2,Mileage surcharge,1887.1
000000000163,1,Fuel surcharge,9761
000000000163,2,Mileage surcharge,3419.3
000000000164,1,Fuel surcharge,1536.1
000000000164,2,Mileage surcharge,8634.2
000000000166,1,Fuel surcharge,523.8
000000000167,1,Fuel surcharge,8103
000000000167,2,Mileage surcharge,9710.5
000000000168,1,Fuel surcharge,7414
000000000168,2,Mileage surcharge,963.6
000000000171,1,Fuel surcharge,3881.3
000000000171,2,Mileage surcharge,641.4
000000000173,1,Fuel surcharge,4134.9
000000000173,2,Mileage surcharge,4330.9
000000000174,1,Fuel surcharge,3051.4
000000000176,1,Fuel surcharge,4365.5
000000000176,2,Mileage surcharge,963
000000000178,1,Fuel surcharge,6216.3
000000000178,2,Mileage surcharge,8291
000000000180,1,Fuel surcharge,1738
000000000181,1,Fuel surcharge,493
000000000181,2,Mileage surcharge,725.2
000000000183,1,Fuel surcharge,3354.3
000000000184,1,Fuel surcharge,6791.5
000000000184,2,Mileage surcharge,9161.5
000000000185,1,Fuel surcharge,6590.5
000000000189,1,Fuel surcharge,2686.1
000000000190,1,Fuel surcharge,4818.7
000000000192,1,Fuel surcharge,3482.1
000000000192,2,Mileage surcharge,754.1
000000000193,1,Fuel surcharge,5097.3
000000000194,1,Fuel surcharge,7801.9
000000000197,1,Fuel surcharge,9621.9
000000000198,1,Fuel surcharge,7715.6
000000000199,1,Fuel surcharge,5937.8
000000000199,2,Mileage surcharge,2804.3
000000000200,1,Fuel surcharge,8001.3
000000000202,1,Fuel surcharge,3388.8
000000000202,2,Mileage surcharge,1146
000000000203,1,Fuel surcharge,514.4
000000000203,2,Mileage surcharge,7591
000000000206,1,Fuel surcharge,8741.3
000000000207,1,Fuel surcharge,7685.6
000000000208,1,Fuel surcharge,9288.9
000000000208,2,Mileage surcharge,6021.4
000000000209,1,Fuel surcharge,9510.8
000000000210,1,Fuel surcharge,6056.9
000000000211,1,Fuel surcharge,8932.4
000000000212,1,Fuel surcharge,448.3
000000000212,2,Mileage surcharge,8260.2
000000000213,1,Fuel surcharge,2747.1
000000000213,2,Mileage surcharge,7983
000000000214,1,Fuel surcharge,8746.4
000000000215,1,Fuel surcharge,8765.7
000000000216,1,Fuel surcharge,641.5
000000000216,2,Mileage surcharge,7801
000000000217,1,Fuel surcharge,619.6
000000000218,1,Fuel surcharge,5273.3
000000000218,2,Mileage surcharge,8148.5
000000000223,1,Fuel surcharge,2014.5
000000000223,2,Mileage surcharge,4498.1
000000000227,1,Fuel surcharge,3286.9
000000000228,1,Fuel surcharge,5856.8
000000000229,1,Fuel surcharge,9055.7
000000000230,1,Fuel surcharge,4135
000000000230,2,Mileage surcharge,6918.8
000000000233,1,Fuel surcharge,9865
000000000233,2,Mileage surcharge,4976.4
000000000234,1,Fuel surcharge,7672.5
000000000234,2,Mileage surcharge,5624
000000000236,1,Fuel surcharge,6669.8
000000000236,2,Mileage surcharge,195.4
000000000237,1,Fuel surcharge,3460.1
000000000237,2,Mileage surcharge,201.1
000000000238,1,Fuel surcharge,1594.4
000000000240,1,Fuel surcharge,6756.5
000000000241,1,Fuel surcharge,7467.6
000000000242,1,Fuel surcharge,5303.8
000000000243,1,Fuel surcharge,5842.3
000000000243,2,Mileage surcharge,3626.6
000000000244,1,Fuel surcharge,1861.2
000000000244,2,Mileage surcharge,7472.5
000000000247,1,Fuel surcharge,1644.3
000000000247,2,Mileage surcharge,1665
000000000248,1,Fuel surcharge,2228.1
000000000249,1,Fuel surcharge,3392.6
000000000250,1,Fuel surcharge,171.8
000000000251,1,Fuel surcharge,5868.2
000000000253,1,Fuel surcharge,1197.7
000000000254,1,Fuel surcharge,5425
