OrderId,BillOfLadingNumber,PayerCustomerId,CustomerReferenceNumber,CarrierId,OrderPlacedDate,OrderStatus,OrderClosedDate,LoadType
000000000001,49592158423,000001,808186864816,000004,10/10/2021 3:26:25 PM,Final,10/16/2021 3:26:25 PM,Dry Van
000000000002,38978249658,000003,193595737413,000001,10/11/2021 3:26:25 PM,Final,10/30/2021 3:26:25 PM,Dry Van
000000000003,21482918638,000007,716767164187,000003,10/12/2021 3:26:25 PM,Final,10/21/2021 3:26:25 PM,Refrigerated
000000000004,35698397420,000004,553062832954,000002,10/13/2021 3:26:25 PM,Final,10/27/2021 3:26:25 PM,Dry Van
000000000005,70267298056,000001,,000001,10/14/2021 3:26:25 PM,Final,10/28/2021 3:26:25 PM,Refrigerated
000000000006,93252426165,000004,341909315107,000002,10/15/2021 3:26:25 PM,Final,10/28/2021 3:26:25 PM,Dry Van
000000000007,19309476740,000004,,000004,10/16/2021 3:26:25 PM,Final,10/19/2021 3:26:25 PM,Hazmat
000000000008,46435849619,000001,,000002,10/17/2021 3:26:25 PM,Final,10/26/2021 3:26:25 PM,Dry Van
000000000009,44670345200,000003,951979121760,000003,10/18/2021 3:26:25 PM,Final,10/26/2021 3:26:25 PM,Refrigerated
000000000010,66057007998,000003,,000004,10/19/2021 3:26:25 PM,Final,10/22/2021 3:26:25 PM,Hazmat
000000000011,46143230649,000004,938772977963,000003,10/20/2021 3:26:25 PM,Final,11/3/2021 3:26:25 PM,Refrigerated
000000000012,3072075604,000003,,000001,10/21/2021 3:26:25 PM,Final,11/6/2021 3:26:25 PM,Refrigerated
000000000013,46010668366,000004,311239865356,000004,10/22/2021 3:26:25 PM,Final,10/26/2021 3:26:25 PM,Dry Van
000000000014,84947328073,000001,,000004,10/23/2021 3:26:25 PM,Final,11/6/2021 3:26:25 PM,Hazmat
000000000015,85023315515,000004,559422058865,000002,10/24/2021 3:26:25 PM,Final,11/1/2021 3:26:25 PM,Dry Van
000000000016,50592492818,000001,425530357232,000004,10/25/2021 3:26:25 PM,Final,11/14/2021 3:26:25 PM,Hazmat
000000000017,20845310057,000007,,000002,10/26/2021 3:26:25 PM,Final,11/12/2021 3:26:25 PM,Dry Van
000000000018,31501554192,000007,237919511805,000001,10/27/2021 3:26:25 PM,Final,10/31/2021 3:26:25 PM,Dry Van
000000000019,37097329840,000007,826673105716,000004,10/28/2021 3:26:25 PM,Final,11/3/2021 3:26:25 PM,Hazmat
000000000020,934281167,000003,569838974736,000004,10/29/2021 3:26:25 PM,Final,11/5/2021 3:26:25 PM,Hazmat
000000000021,94678176317,000005,608076505327,000002,10/30/2021 3:26:25 PM,Final,11/6/2021 3:26:25 PM,Dry Van
000000000022,50380955959,000003,517474098074,000001,10/31/2021 3:26:25 PM,Final,11/10/2021 3:26:25 PM,Dry Van
000000000023,11167483727,000007,,000004,11/1/2021 3:26:25 PM,Final,11/20/2021 3:26:25 PM,Dry Van
000000000024,75787541347,000005,66511018691,000002,11/2/2021 3:26:25 PM,Final,11/11/2021 3:26:25 PM,Dry Van
000000000025,48915524208,000007,298309238586,000003,11/3/2021 3:26:25 PM,Final,11/19/2021 3:26:25 PM,Refrigerated
000000000026,72683030017,000007,120522481413,000001,11/4/2021 3:26:25 PM,Final,11/10/2021 3:26:25 PM,Refrigerated
000000000027,61160927538,000003,760879090544,000004,11/5/2021 3:26:25 PM,Final,11/20/2021 3:26:25 PM,Dry Van
000000000028,80715883469,000007,855878855247,000001,11/6/2021 3:26:25 PM,Final,11/11/2021 3:26:25 PM,Refrigerated
000000000029,95149921036,000004,,000002,11/7/2021 3:26:25 PM,Final,11/13/2021 3:26:25 PM,Dry Van
000000000030,70550570392,000004,254815812627,000001,11/8/2021 3:26:25 PM,Final,11/22/2021 3:26:25 PM,Dry Van
000000000031,49733416334,000005,,000004,11/9/2021 3:26:25 PM,Canceled,11/20/2021 3:26:25 PM,Hazmat
000000000032,12695732491,000007,195835605343,000002,11/10/2021 3:26:25 PM,Final,11/15/2021 3:26:25 PM,Dry Van
000000000033,95327496095,000004,172025986240,000001,11/11/2021 3:26:25 PM,Final,11/16/2021 3:26:25 PM,Dry Van
000000000034,6480079019,000005,,000002,11/12/2021 3:26:25 PM,Final,11/15/2021 3:26:25 PM,Dry Van
000000000035,33119061186,000004,,000001,11/13/2021 3:26:25 PM,Final,12/3/2021 3:26:25 PM,Dry Van
000000000036,56850908884,000004,169463715513,000003,11/14/2021 3:26:25 PM,Final,11/29/2021 3:26:25 PM,Refrigerated
000000000037,10732956500,000003,,000003,11/15/2021 3:26:25 PM,Final,11/27/2021 3:26:25 PM,Refrigerated
000000000038,59202756690,000007,,000004,11/16/2021 3:26:25 PM,Final,11/28/2021 3:26:25 PM,Dry Van
000000000039,83221261021,000005,590007499168,000004,11/17/2021 3:26:25 PM,Final,11/29/2021 3:26:25 PM,Dry Van
000000000040,85244255747,000001,595784468247,000001,11/18/2021 3:26:25 PM,Final,12/7/2021 3:26:25 PM,Dry Van
000000000041,34150752769,000001,417002031473,000004,11/19/2021 3:26:25 PM,Final,11/23/2021 3:26:25 PM,Hazmat
000000000042,26310497800,000007,,000001,11/20/2021 3:26:25 PM,Final,11/23/2021 3:26:25 PM,Dry Van
000000000043,20744932831,000001,369231761580,000004,11/21/2021 3:26:25 PM,Final,12/1/2021 3:26:25 PM,Hazmat
000000000044,72892058622,000005,965996189170,000002,11/22/2021 3:26:25 PM,Final,12/3/2021 3:26:25 PM,Dry Van
000000000045,38375041151,000005,,000004,11/23/2021 3:26:25 PM,Final,12/12/2021 3:26:25 PM,Dry Van
000000000046,55645896357,000001,94502178549,000004,11/24/2021 3:26:25 PM,Final,12/6/2021 3:26:25 PM,Hazmat
000000000047,64548895981,000004,,000004,11/25/2021 3:26:25 PM,Final,12/11/2021 3:26:25 PM,Hazmat
000000000048,62481252269,000007,851122660956,000001,11/26/2021 3:26:25 PM,Canceled,12/8/2021 3:26:25 PM,Refrigerated
000000000049,8242210806,000001,,000002,11/27/2021 3:26:25 PM,Final,12/3/2021 3:26:25 PM,Dry Van
000000000050,10405010869,000003,203295978353,000002,11/28/2021 3:26:25 PM,Final,12/18/2021 3:26:25 PM,Dry Van
000000000051,16429306443,000007,,000004,11/29/2021 3:26:25 PM,Final,12/13/2021 3:26:25 PM,Hazmat
000000000052,10872276153,000005,,000004,11/30/2021 3:26:25 PM,Final,12/19/2021 3:26:25 PM,Hazmat
