OrderId,StopSequenceNumber,StopType,CustomerId,LocationId,MinExpectedArrivalTime,MaxExpectedArrivalTime,ActualArrivalTime,DepartureTime,Distance,ChargePerDistanceUnit
000000000001,1,Pickup,000009,IFMN-PLANT,10/11/2021 11:55:18 AM,10/12/2021 1:29:18 PM,,,913,3
000000000001,2,Pickup,000008,WAREHOUSE,10/11/2021 9:14:49 PM,10/12/2021 8:22:33 PM,,,1954,2
000000000001,3,Other cargo change,000001,WHSE,10/12/2021 4:46:04 AM,10/12/2021 8:59:32 PM,,,1259,4
000000000001,4,Carrier-related,,,10/12/2021 4:33:44 PM,10/13/2021 1:38:00 PM,,,3192,0
000000000001,5,Dropoff,000007,OFC,10/13/2021 2:49:35 PM,10/13/2021 8:02:58 PM,10/14/2021 7:03:15 AM,10/15/2021 9:26:05 AM,1951,4
000000000002,1,Pickup,000004,DC,10/11/2021 6:01:17 PM,10/14/2021 12:52:45 AM,,,885,1
000000000002,2,Dropoff,000001,WHSE,10/12/2021 3:14:56 AM,10/12/2021 11:00:55 PM,,,395,4
000000000002,3,Dropoff,000008,#0001,10/14/2021 1:19:41 AM,10/15/2021 11:22:45 AM,,,2258,3
000000000002,4,Other cargo change,000008,WAREHOUSE,10/15/2021 4:41:52 PM,10/17/2021 1:53:05 AM,,,2089,1
000000000002,5,Dropoff,000004,#002,10/17/2021 1:04:46 AM,10/19/2021 4:44:37 AM,,,2844,3
000000000002,6,Dropoff,000008,#0001,10/18/2021 8:58:41 PM,10/19/2021 2:15:55 PM,,,3690,2
000000000002,7,Dropoff,000008,#0003,10/21/2021 4:37:32 AM,10/23/2021 7:06:31 PM,10/22/2021 2:11:41 PM,10/24/2021 12:36:13 PM,2255,3
000000000003,1,Pickup,000001,PLANT,10/14/2021 3:28:58 PM,10/18/2021 6:14:25 AM,,,3628,2
000000000003,2,Dropoff,000008,#0002,10/17/2021 10:45:36 PM,10/20/2021 9:15:09 AM,10/19/2021 12:36:42 PM,10/20/2021 5:54:20 AM,1504,0
000000000004,1,Pickup,000008,WAREHOUSE,10/14/2021 1:15:12 AM,10/14/2021 4:54:58 PM,,,606,3
000000000004,2,Carrier-related,,,10/14/2021 4:40:52 AM,10/14/2021 10:32:52 AM,,,1492,2
000000000004,3,Carrier-related,000008,#0004,10/16/2021 6:49:46 AM,10/17/2021 12:27:43 PM,,,2581,1
000000000004,4,Carrier-related,,,10/18/2021 1:20:37 PM,10/19/2021 10:06:59 AM,,,1374,2
000000000004,5,Dropoff,000004,#003,10/19/2021 11:38:46 PM,10/20/2021 1:32:28 PM,,,962,0
000000000004,6,Dropoff,,,10/21/2021 11:20:27 AM,10/23/2021 5:08:13 PM,10/22/2021 12:49:42 PM,10/24/2021 2:37:42 PM,528,2
000000000005,1,Pickup,000008,WAREHOUSE,10/15/2021 9:51:12 PM,10/17/2021 6:55:59 AM,,,2426,4
000000000005,2,Pickup,000009,IFMN-PLANT,10/16/2021 3:46:10 AM,10/16/2021 5:59:12 AM,,,3823,2
000000000005,3,Carrier-related,,,10/16/2021 4:04:45 AM,10/16/2021 4:07:00 PM,,,918,0
000000000005,4,Other cargo change,000004,#002,10/17/2021 6:51:43 AM,10/18/2021 10:42:20 AM,,,492,3
000000000005,5,Carrier-related,000010,HOME,10/18/2021 3:31:14 AM,10/18/2021 8:03:48 AM,,,3321,2
000000000005,6,Carrier-related,,,10/19/2021 1:51:12 AM,10/19/2021 11:51:25 PM,,,1263,3
000000000005,7,Pickup,000008,#0003,10/19/2021 3:52:23 PM,10/20/2021 9:10:03 PM,,,3589,1
000000000005,8,Pickup,,,10/20/2021 10:25:05 PM,10/21/2021 4:23:45 AM,,,1717,3
000000000005,9,Pickup,000004,DC,10/21/2021 9:03:03 PM,10/22/2021 2:49:21 AM,,,3466,4
000000000005,10,Dropoff,000009,IFMN-PLANT,10/23/2021 5:08:04 AM,10/24/2021 10:15:22 AM,10/24/2021 12:40:35 AM,10/24/2021 5:26:50 PM,228,2
000000000006,1,Pickup,000001,WHSE,10/16/2021 5:02:51 AM,10/16/2021 8:04:49 AM,,,1516,0
000000000006,2,Pickup,000008,WAREHOUSE,10/19/2021 8:15:46 AM,10/20/2021 9:32:43 PM,,,3765,2
000000000006,3,Pickup,000004,DC,10/22/2021 2:31:36 AM,10/23/2021 11:34:54 AM,,,470,0
000000000006,4,Dropoff,000004,#002,10/24/2021 9:51:01 PM,10/25/2021 8:23:29 AM,10/27/2021 3:26:31 AM,10/27/2021 7:08:19 PM,2364,1
000000000007,1,Pickup,000001,PLANT,10/16/2021 7:01:12 PM,10/16/2021 11:13:51 PM,,,2222,2
000000000007,2,Dropoff,000008,#0001,10/16/2021 8:38:01 PM,10/17/2021 1:25:46 AM,,,2538,2
000000000007,3,Dropoff,000006,#1,10/17/2021 2:14:38 AM,10/17/2021 4:22:53 AM,,,1072,0
000000000007,4,Pickup,000010,HOME,10/17/2021 2:35:59 AM,10/17/2021 4:34:11 AM,,,697,3
000000000007,5,Dropoff,000004,#002,10/17/2021 4:01:51 AM,10/17/2021 5:26:25 AM,,,3662,0
000000000007,6,Pickup,000010,HOME,10/17/2021 9:41:45 AM,10/17/2021 11:59:45 AM,,,397,2
000000000007,7,Other cargo change,000008,WAREHOUSE,10/17/2021 1:23:21 PM,10/17/2021 3:23:13 PM,,,1219,3
000000000007,8,Other cargo change,000001,PLANT,10/17/2021 6:41:30 PM,10/17/2021 7:26:38 PM,,,1997,1
000000000007,9,Dropoff,000004,#005,10/17/2021 11:04:49 PM,10/18/2021 1:24:26 AM,,,3880,4
000000000007,10,Pickup,000010,HOME,10/18/2021 2:47:34 AM,10/18/2021 7:43:58 AM,,,2232,1
000000000007,11,Carrier-related,,,10/18/2021 4:12:44 AM,10/18/2021 8:16:09 AM,,,520,1
000000000007,12,Dropoff,000008,#0004,10/18/2021 9:18:47 AM,10/18/2021 12:10:20 PM,10/18/2021 12:57:12 PM,10/18/2021 3:30:13 PM,2125,2
000000000008,1,Pickup,000001,PLANT,10/18/2021 8:56:14 PM,10/19/2021 4:33:14 PM,,,3194,1
000000000008,2,Dropoff,000001,WHSE,10/19/2021 2:52:56 AM,10/20/2021 2:20:10 AM,,,1642,4
