OrderId,StopSequenceNumber,StopType,CustomerId,LocationId,MinExpectedArrivalTime,MaxExpectedArrivalTime,ActualArrivalTime,DepartureTime,Distance,ChargePerDistanceUnit
"000000000001",1,"Pickup","000010","HOME",10/13/2021 4:39:57 PM,10/13/2021 10:03:01 PM,,,481,2
"000000000001",2,"Dropoff","000008","WAREHOUSE",10/14/2021 3:39:47 AM,10/15/2021 8:34:26 PM,,,463,1
"000000000001",3,"Dropoff","000004","#003",10/14/2021 10:24:14 AM,10/15/2021 5:40:05 AM,10/14/2021 1:16:56 PM,10/14/2021 4:28:17 PM,902,3
"000000000002",1,"Pickup","000008","WAREHOUSE",10/11/2021 9:40:00 PM,10/13/2021 1:17:12 AM,,,220,4
"000000000002",2,"Pickup","000001","PLANT",10/12/2021 7:05:57 PM,10/12/2021 9:02:20 PM,,,3779,4
"000000000002",3,"Pickup","000009","IFMN-PLANT",10/13/2021 2:03:27 PM,10/15/2021 3:57:36 AM,,,3706,2
"000000000002",4,"Pickup","000001","PLANT",10/14/2021 11:29:58 AM,10/14/2021 7:48:16 PM,,,971,0
"000000000002",5,"Pickup","000009","IFMN-PLANT",10/15/2021 7:30:34 PM,10/17/2021 9:19:56 AM,,,865,1
"000000000002",6,"Dropoff","000005","MAIN",10/16/2021 12:08:50 PM,10/17/2021 12:10:56 PM,10/17/2021 9:30:16 PM,10/19/2021 8:22:36 AM,381,2
"000000000003",1,"Pickup","000010","HOME",10/14/2021 7:24:19 AM,10/16/2021 12:34:33 AM,,,3438,1
"000000000003",2,"Dropoff","000001","WHSE",10/15/2021 11:11:20 PM,10/18/2021 12:56:49 AM,,,2381,4
"000000000003",3,"Dropoff","000004","#003",10/16/2021 6:44:26 PM,10/17/2021 9:45:27 PM,,,1740,1
"000000000003",4,"Other cargo change","000001","PLANT",10/18/2021 11:34:33 AM,10/19/2021 3:50:46 AM,,,2307,0
"000000000003",5,"Other cargo change","000001","WHSE",10/19/2021 7:02:37 AM,10/19/2021 8:39:15 AM,,,2402,4
"000000000003",6,"Other cargo change","000001","PLANT",10/19/2021 10:03:03 AM,10/19/2021 6:02:35 PM,,,464,1
"000000000003",7,"Dropoff","000004","#005",10/21/2021 12:16:01 AM,10/22/2021 1:35:06 PM,10/22/2021 12:43:09 PM,10/23/2021 7:07:31 AM,1879,2
"000000000004",1,"Pickup","000008","WAREHOUSE",10/16/2021 8:57:38 AM,10/17/2021 12:01:05 AM,,,2877,2
"000000000004",2,"Dropoff","000006","#1",10/17/2021 11:09:56 PM,10/18/2021 7:14:47 PM,,,1898,2
"000000000004",3,"Dropoff","000004","#002",10/18/2021 9:19:44 PM,10/19/2021 12:24:36 AM,,,1002,1
"000000000004",4,"Other cargo change","000001","PLANT",10/19/2021 8:26:23 PM,10/22/2021 9:47:09 AM,,,1660,1
"000000000004",5,"Dropoff","000004","#001",10/20/2021 8:18:42 AM,10/22/2021 1:15:59 PM,10/20/2021 9:21:32 PM,10/21/2021 6:06:13 AM,3242,4
"000000000005",1,"Pickup","000001","PLANT",10/16/2021 11:26:24 AM,10/18/2021 1:03:24 AM,,,3957,4
"000000000005",2,"Carrier-related",,,10/16/2021 7:28:56 PM,10/18/2021 3:16:24 AM,,,120,1
"000000000005",3,"Dropoff","000006","#1",10/17/2021 1:41:49 PM,10/18/2021 5:53:05 PM,,,1646,3
"000000000005",4,"Carrier-related","000001","WHSE",10/18/2021 5:53:20 AM,10/19/2021 10:49:13 PM,,,2254,1
"000000000005",5,"Dropoff",,,10/19/2021 6:07:03 AM,10/20/2021 4:26:22 AM,,,724,2
"000000000005",6,"Carrier-related","000008","#0003",10/19/2021 12:16:51 PM,10/19/2021 6:51:45 PM,,,2337,2
"000000000005",7,"Pickup","000004","#002",10/20/2021 6:19:54 PM,10/20/2021 6:49:40 PM,,,521,1
"000000000005",8,"Pickup",,,10/21/2021 1:17:09 PM,10/22/2021 2:23:52 PM,,,2787,1
"000000000005",9,"Dropoff","000001","PLANT",10/22/2021 10:49:38 AM,10/24/2021 12:37:40 AM,10/22/2021 9:31:58 PM,10/23/2021 12:02:26 AM,1944,0
"000000000006",1,"Pickup","000001","WHSE",10/16/2021 3:05:24 AM,10/16/2021 10:51:48 AM,,,3267,2
